FNC,mapA,mapB
1,21,17
2,21,7
3,21,23
4,21,24
5,21,38
6,21,56
7,21,29
8,21,46
9,21,64
10,21,67
11,21,48
12,21,39
13,21,59
14,21,50
15,21,53
16,21,25
17,21,68
18,21,34
19,21,60
20,21,52
21,21,72
22,21,71
23,21,55
24,21,42
25,21,20
26,21,47
27,21,49
28,17,7
29,17,23
30,17,24
31,17,38
32,17,56
33,17,29
34,17,46
35,17,64
36,17,67
37,17,48
38,17,39
39,17,59
40,17,50
41,17,53
42,17,25
43,17,68
44,17,34
45,17,60
46,17,52
47,17,72
48,17,71
49,17,55
50,17,42
51,17,20
52,17,47
53,17,49
54,7,23
55,7,24
56,7,38
57,7,56
58,7,29
59,7,46
60,7,64
61,7,67
62,7,48
63,7,39
64,7,59
65,7,50
66,7,53
67,7,25
68,7,68
69,7,34
70,7,60
71,7,52
72,7,72
73,7,71
74,7,55
75,7,42
76,7,20
77,7,47
78,7,49
79,23,24
80,23,38
81,23,56
82,23,29
83,23,46
84,23,64
85,23,67
86,23,48
87,23,39
88,23,59
89,23,50
90,23,53
91,23,25
92,23,68
93,23,34
94,23,60
95,23,52
96,23,72
97,23,71
98,23,55
99,23,42
100,23,20
101,23,47
102,23,49
103,24,38
104,24,56
105,24,29
106,24,46
107,24,64
108,24,67
109,24,48
110,24,39
111,24,59
112,24,50
113,24,53
114,24,25
115,24,68
116,24,34
117,24,60
118,24,52
119,24,72
120,24,71
121,24,55
122,24,42
123,24,20
124,24,47
125,24,49
126,38,56
127,38,29
128,38,46
129,38,64
130,38,67
131,38,48
132,38,39
133,38,59
134,38,50
135,38,53
136,38,25
137,38,68
138,38,34
139,38,60
140,38,52
141,38,72
142,38,71
143,38,55
144,38,42
145,38,20
146,38,47
147,38,49
148,56,29
149,56,46
150,56,64
151,56,67
152,56,48
153,56,39
154,56,59
155,56,50
156,56,53
157,56,25
158,56,68
159,56,34
160,56,60
161,56,52
162,56,72
163,56,71
164,56,55
165,56,42
166,56,20
167,56,47
168,56,49
169,29,46
170,29,64
171,29,67
172,29,48
173,29,39
174,29,59
175,29,50
176,29,53
177,29,25
178,29,68
179,29,34
180,29,60
181,29,52
182,29,72
183,29,71
184,29,55
185,29,42
186,29,20
187,29,47
188,29,49
189,46,64
190,46,67
191,46,48
192,46,39
193,46,59
194,46,50
195,46,53
196,46,25
197,46,68
198,46,34
199,46,60
200,46,52
201,46,72
202,46,71
203,46,55
204,46,42
205,46,20
206,46,47
207,46,49
208,64,67
209,64,48
210,64,39
211,64,59
212,64,50
213,64,53
214,64,25
215,64,68
216,64,34
217,64,60
218,64,52
219,64,72
220,64,71
221,64,55
222,64,42
223,64,20
224,64,47
225,64,49
226,67,48
227,67,39
228,67,59
229,67,50
230,67,53
231,67,25
232,67,68
233,67,34
234,67,60
235,67,52
236,67,72
237,67,71
238,67,55
239,67,42
240,67,20
241,67,47
242,67,49
243,48,39
244,48,59
245,48,50
246,48,53
247,48,25
248,48,68
249,48,34
250,48,60
251,48,52
252,48,72
253,48,71
254,48,55
255,48,42
256,48,20
257,48,47
258,48,49
259,39,59
260,39,50
261,39,53
262,39,25
263,39,68
264,39,34
265,39,60
266,39,52
267,39,72
268,39,71
269,39,55
270,39,42
271,39,20
272,39,47
273,39,49
274,59,50
275,59,53
276,59,25
277,59,68
278,59,34
279,59,60
280,59,52
281,59,72
282,59,71
283,59,55
284,59,42
285,59,20
286,59,47
287,59,49
288,50,53
289,50,25
290,50,68
291,50,34
292,50,60
293,50,52
294,50,72
295,50,71
296,50,55
297,50,42
298,50,20
299,50,47
300,50,49
301,53,25
302,53,68
303,53,34
304,53,60
305,53,52
306,53,72
307,53,71
308,53,55
309,53,42
310,53,20
311,53,47
312,53,49
313,25,68
314,25,34
315,25,60
316,25,52
317,25,72
318,25,71
319,25,55
320,25,42
321,25,20
322,25,47
323,25,49
324,68,34
325,68,60
326,68,52
327,68,72
328,68,71
329,68,55
330,68,42
331,68,20
332,68,47
333,68,49
334,34,60
335,34,52
336,34,72
337,34,71
338,34,55
339,34,42
340,34,20
341,34,47
342,34,49
343,60,52
344,60,72
345,60,71
346,60,55
347,60,42
348,60,20
349,60,47
350,60,49
351,52,72
352,52,71
353,52,55
354,52,42
355,52,20
356,52,47
357,52,49
358,72,71
359,72,55
360,72,42
361,72,20
362,72,47
363,72,49
364,71,55
365,71,42
366,71,20
367,71,47
368,71,49
369,55,42
370,55,20
371,55,47
372,55,49
373,42,20
374,42,47
375,42,49
376,20,47
377,20,49
378,47,49
